GexfID,Title,IMDB_id,ReleaseDate,Transitivity,Genre,Slug,WeightedDegree,Modularity,PathLength,Diameter,ClusteringCoefficient,ConnectedComponents,Density,Edges,Characters
1,10 Things I Hate About You,tt0147800,1999,0.516695958,['Comedy'. 'Drama'. 'Romance'],10-Things-I-Hate-About-You,13040.00,0.19,1779.00,3000.00,0.57,3000.00,0.23,225.00,25.00
2,12,tt0488478,2007,0.272727273,['Crime'. 'Drama'. 'Thriller'],12,4227.00,0.52,2170.00,3000.00,0.61,6000.00,0.08,102.00,42.00
3,Twelve and Holding,tt0417385,2005,0.38961039,['Drama'],Twelve-and-Holding,7333.00,0.47,2449.00,4000.00,0.59,2000.00,0.14,139.00,26.00
5,127 Hours,tt1542344,2010,0.1875,['Biography'. 'Drama'],127-Hours,3833.00,0.16,1722.00,2000.00,0.34,4000.00,0.15,33.00,11.00
6,1492: Conquest of Paradise,tt0103594,1992,0.316455696,['Adventure'. 'Biography'. 'Drama'],1492:-Conquest-of-Paradise,7941.00,0.35,2043.00,4000.00,0.71,1000.00,0.15,164.00,34.00
7,15 Minutes,tt0179626,2001,0.359270517,['Action'. 'Crime'. 'Drama'],15-Minutes,8784.00,0.34,2114.00,4000.00,0.71,4000.00,0.12,265.00,47.00
8,17 Again,tt0974661,2009,0.429672447,['Comedy'. 'Drama'. 'Fantasy'],17-Again,13027.00,0.25,1879.00,3000.00,0.79,2000.00,0.19,307.00,37.00
9,One Eight Seven,tt0118531,1997,0.301229508,['Drama'. 'Thriller'],One-Eight-Seven,6000.00,0.42,2206.00,4000.00,0.71,2000.00,0.12,116.00,33.00
10,2001: A Space Odyssey,tt0062622,1968,0.645308924,['Adventure'. 'Sci-Fi'],2001:-A-Space-Odyssey,8444.00,0.45,1795.00,3000.00,0.88,1000.00,0.29,122.00,27.00
11,2012,tt1190080,2009,0.392511569,['Action'. 'Adventure'. 'Sci-Fi'],2012,10600.00,0.44,2519.00,5000.00,0.65,3000.00,0.09,470.00,69.00
13,44 Inch Chest,tt0914837,2009,0.679245283,['Crime'. 'Drama'],44-Inch-Chest,33500.00,0.16,1655.00,3000.00,0.64,2000.00,0.35,332.00,12.00
14,48 Hrs.,tt0083511,1982,0.423368741,['Action'. 'Comedy'. 'Crime'],48-Hrs.,7511.00,0.43,2049.00,3000.00,0.76,4000.00,0.13,210.00,44.00
15,(500) Days of Summer,tt1022603,2009,0.48456057,['Comedy'. 'Drama'. 'Romance'],(500)-Days-of-Summer,9929.00,0.22,1833.00,3000.00,0.67,4000.00,0.18,173.00,21.00
17,8MM,tt0134273,1999,0.282828283,['Crime'. 'Drama'. 'Mystery'],8MM,5923.00,0.27,1834.00,2000.00,0.44,4000.00,0.13,96.00,25.00
19,A Few Good Men,tt0104257,1992,0.417431193,['Drama'. 'Thriller'],A-Few-Good-Men,17533.00,0.28,2020.00,4000.00,0.67,2000.00,0.18,376.00,28.00
21,Above the Law,tt0094602,1988,0.328685259,['Action'. 'Crime'. 'Drama'],Above-the-Law,6766.00,0.36,2116.00,5000.00,0.58,8000.00,0.09,189.00,44.00
22,Absolute Power,tt0118548,1997,0.297520661,['Action'. 'Crime'. 'Drama'],Absolute-Power,6690.00,0.43,2319.00,4000.00,0.48,3000.00,0.11,137.00,29.00
23,The Abyss,tt0096754,1989,0.605951307,['Adventure'. 'Drama'. 'Mystery'],The-Abyss,14667.00,0.36,1826.00,3000.00,0.78,5000.00,0.17,383.00,36.00
24,Ace Ventura: Pet Detective,tt0109040,1994,0.329799107,['Comedy'],Ace-Ventura:-Pet-Detective,6590.00,0.45,2103.00,3000.00,0.67,8000.00,0.08,210.00,52.00
25,Adaptation.,tt0268126,2002,0.242647059,['Comedy'. 'Drama'],Adaptation.,5257.00,0.43,2446.00,4000.00,0.29,6000.00,0.07,116.00,35.00
26,The Addams Family,tt0101272,1991,0.747603834,['Comedy'. 'Fantasy'],The-Addams-Family,13733.00,0.07,1462.00,3000.00,0.67,3000.00,0.42,151.00,15.00
27,The Adventures of Buckaroo Banzai Across the 8th Dimension,tt0086856,1984,0.446931687,['Adventure'. 'Comedy'. 'Sci-Fi'],The-Adventures-of-Buckaroo-Banzai-Across-the-8th-Dimension,11290.00,0.35,2225.00,5000.00,0.55,9000.00,0.11,396.00,52.00
